seas_id,player,tm,position
30699,Jalen McDaniels,PHI,Forward
30687,Jaden Springer,PHI,Guard
30905,Monte Morris,WAS,Guard
30904,Mo Bamba,LAL,Center
30700,Jalen McDaniels,PHI,Forward
30497,Bogdan Bogdanović,ATL,Guard
31026,Terrence Ross,PHO,Guard
30889,Michael Foster Jr.,PHI,Forward
30927,Noah Vonleh,BOS,Center
30478,Andre Iguodala,GSW,Forward
30941,Pat Connaughton,MIL,Guard
30740,Joe Ingles,MIL,Forward
30703,Jalen Williams,OKC,Guard
30906,Montrezl Harrell,PHI,Center
30898,Mike Muscala,BOS,Center
30744,John Collins,ATL,Forward
30472,Alex Len,SAC,Center
30897,Mike Muscala,BOS,Center
30564,Daniel Theis,IND,Center
30560,Damian Jones,UTA,Center
30523,Cam Thomas,BRK,Guard
30990,Saddiq Bey,ATL,Forward
30851,Luke Kennard,MEM,Guard
30993,Sandro Mamukelashvili,MIL,Center
30563,Daniel Gafford,WAS,Center
30608,Dillon Brooks,MEM,Forward
30994,Santi Aldama,MEM,Forward
30528,Caris LeVert,CLE,Guard
30780,Julian Champagnie,PHI,Forward
30527,Cameron Payne,PHO,Guard
30820,Kevin Porter Jr.,HOU,Guard
30584,De'Andre Hunter,ATL,Forward
30526,Cameron Johnson,BRK,Forward
30887,Mfiondu Kabengele,BOS,Forward
30491,Bennedict Mathurin,IND,Forward
31005,Spencer Dinwiddie,BRK,Guard
30490,Ben Simmons,BRK,Guard
30525,Cameron Johnson,BRK,Forward
30874,Mason Plumlee,LAC,Center
30595,Deonte Burton,SAC,Guard
30524,Cameron Johnson,BRK,Forward
30819,Kevin Love,MIA,Forward
30989,Saddiq Bey,ATL,Forward
30627,Eric Gordon,LAC,Guard
30981,Russell Westbrook,LAC,Guard
30566,Danny Green,CLE,Guard
30567,Danny Green,CLE,Guard
30811,Kessler Edwards,SAC,Forward
30549,Collin Sexton,UTA,Guard
30629,Eric Gordon,LAC,Guard
30628,Eric Gordon,LAC,Guard
30866,Markelle Fultz,ORL,Guard
31049,Trevor Keels,NYK,Guard
30593,Dennis Schröder,LAL,Guard
31062,Udonis Haslem,MIA,Center
30765,Josh Hart,NYK,Forward
30766,Josh Hart,NYK,Forward
30767,Josh Hart,NYK,Guard
30908,Moses Brown,LAC,Center
30868,Markieff Morris,DAL,Forward
30840,Larry Nance Jr.,NOP,Forward
30867,Markieff Morris,DAL,Forward
30909,Moses Moody,GSW,Guard
30912,Naji Marshall,NOP,Forward
30865,Mark Williams,CHO,Center
30871,Marvin Bagley III,DET,Center
30869,Markieff Morris,DAL,Forward
30910,Moussa Diabaté,LAC,Forward
30856,Malcolm Hill,CHI,Forward
30870,Marko Simonovic,CHI,Center
30888,Micah Potter,UTA,Forward
30845,Lonnie Walker IV,LAL,Guard
30881,Matthew Dellavedova,SAC,Guard
30854,Malaki Branham,SAS,Forward
30885,McKinley Wright IV,DAL,Guard
30859,Malik Beasley,LAL,Guard
30884,Maxi Kleber,DAL,Center
30864,MarJon Beauchamp,MIL,Forward
30857,Malik Beasley,LAL,Guard
30849,Luke Kennard,MEM,Guard
30858,Malik Beasley,LAL,Guard
30850,Luke Kennard,MEM,Guard
30848,Luka Garza,MIN,Center
30883,Max Strus,MIA,Forward
30882,Max Christie,LAL,Guard
30880,Matt Ryan,MIN,Forward
30875,Matisse Thybulle,POR,Guard
30879,Matt Ryan,MIN,Forward
30878,Matt Ryan,MIN,Forward
30900,Miles McBride,NYK,Guard
30852,Luke Kornet,BOS,Center
30877,Matisse Thybulle,POR,Guard
30876,Matisse Thybulle,POR,Guard
30853,Malachi Flynn,TOR,Guard
30842,Leandro Bolmaro,UTA,Guard
30861,Mamadi Diakite,CLE,Forward
30902,Mo Bamba,LAL,Center
30903,Mo Bamba,LAL,Center
30844,Lindy Waters III,OKC,Guard
30862,Marcus Morris,LAC,Forward
30964,Richaun Holmes,SAC,Center
30913,Nassir Little,POR,Forward
31046,Trent Forrest,ATL,Guard
31044,Tre Mann,OKC,Guard
31043,Tre Jones,SAS,Guard
31041,Torrey Craig,PHO,Forward
31040,Tony Bradley,CHI,Center
31034,Theo Pinson,DAL,Guard
31033,Théo Maledon,CHO,Guard
31032,Thanasis Antetokounmpo,MIL,Forward
31031,Thaddeus Young,TOR,Forward
31030,Terry Taylor,CHI,Forward
31029,Terry Taylor,CHI,Forward
31028,Terry Taylor,CHI,Forward
31025,Terrence Ross,PHO,Guard
31024,Terrence Ross,PHO,Guard
31023,Terence Davis,SAC,Guard
31022,Terance Mann,LAC,Guard
31021,Taurean Prince,MIN,Forward
31020,Tari Eason,HOU,Forward
31019,Talen Horton-Tucker,UTA,Guard
31018,Taj Gibson,WAS,Center
31017,T.J. Warren,PHO,Forward
31016,T.J. Warren,PHO,Forward
31015,T.J. Warren,PHO,Forward
31014,T.J. McConnell,IND,Guard
31013,Svi Mykhailiuk,CHO,Forward
31012,Svi Mykhailiuk,CHO,Forward
31045,Trendon Watford,POR,Forward
31047,Trevelin Queen,IND,Guard
31009,Sterling Brown,LAL,Guard
31048,Trevor Hudgins,HOU,Guard
31083,Ziaire Williams,MEM,Forward
31082,Zeke Nnaji,DEN,Forward
31080,Zach Collins,SAS,Center
31079,Yuta Watanabe,BRK,Forward
31078,Xavier Tillman Sr.,MEM,Forward
31076,Will Barton,TOR,Guard
31075,Will Barton,TOR,Guard
31074,Will Barton,TOR,Guard
31073,Wesley Matthews,MIL,Guard
31072,Wenyen Gabriel,LAL,Forward
31071,Wendell Moore Jr.,MIN,Guard
31068,Vlatko Čančar,DEN,Forward
31067,Vit Krejci,ATL,Guard
31066,Vince Williams Jr.,MEM,Guard
31065,Victor Oladipo,MIA,Guard
31064,Vernon Carey Jr.,WAS,Center
31063,Usman Garuba,HOU,Forward
31061,Udoka Azubuike,UTA,Center
31059,TyTy Washington Jr.,HOU,Guard
31057,Tyrese Martin,ATL,Guard
31054,Tyler Dorsey,DAL,Guard
31053,Ty Jerome,GSW,Guard
31052,Troy Brown Jr.,LAL,Forward
31051,Trey Murphy III,NOP,Forward
31050,Trey Lyles,SAC,Forward
31011,Svi Mykhailiuk,CHO,Forward
31007,Stanley Umude,DET,Guard
30914,Nathan Knight,MIN,Forward
30957,R.J. Hampton,DET,Guard
30955,Quenton Jackson,WAS,Guard
30954,Quentin Grimes,NYK,Guard
30950,Payton Pritchard,BOS,Guard
30949,Paul Reed,PHI,Center
30947,Patty Mills,BRK,Guard
30946,Patrick Williams,CHI,Forward
30945,Patrick Beverley,CHI,Guard
30944,Patrick Beverley,CHI,Guard
30943,Patrick Beverley,CHI,Guard
30942,Patrick Baldwin Jr.,GSW,Forward
30938,P.J. Washington,CHO,Forward
30937,P.J. Tucker,PHI,Forward
30936,Ousmane Dieng,OKC,Forward
30935,Otto Porter Jr.,TOR,Forward
30934,Oshae Brissett,IND,Forward
30933,Orlando Robinson,MIA,Center
30930,Ochai Agbaji,UTA,Guard
30929,Obi Toppin,NYK,Forward
30925,Nikola Jović,MIA,Forward
30923,Nicolas Batum,LAC,Forward
30922,Nickeil Alexander-Walker,MIN,Guard
30921,Nickeil Alexander-Walker,MIN,Guard
30920,Nickeil Alexander-Walker,MIN,Guard
30919,Nick Richards,CHO,Center
30917,Nerlens Noel,DET,Center
30956,R.J. Hampton,DET,Guard
30958,R.J. Hampton,DET,Guard
31006,Stanley Johnson,SAS,Forward
30959,Raul Neto,CLE,Guard
31002,Simone Fontecchio,UTA,Forward
31001,Shake Milton,PHI,Guard
30999,Shaedon Sharpe,POR,Guard
30998,Seth Curry,BRK,Guard
30996,Scotty Pippen Jr.,LAL,Guard
30992,Sam Hauser,BOS,Forward
30991,Saddiq Bey,ATL,Forward
30988,Saben Lee,PHO,Guard
30987,Saben Lee,PHO,Guard
30986,Saben Lee,PHO,Guard
30985,Ryan Rollins,GSW,Guard
30984,Ryan Arcidiacono,POR,Guard
30983,Ryan Arcidiacono,POR,Guard
30982,Ryan Arcidiacono,POR,Guard
30978,Rui Hachimura,LAL,Forward
30977,Rui Hachimura,LAL,Forward
30976,Rui Hachimura,LAL,Forward
30974,Rudy Gay,UTA,Forward
30973,Royce O'Neale,BRK,Forward
30972,Ron Harper Jr.,TOR,Forward
30971,Romeo Langford,SAS,Guard
30970,Rodney McGruder,DET,Guard
30969,Robin Lopez,CLE,Center
30967,Robert Covington,LAC,Forward
30960,Reggie Bullock,DAL,Forward
30839,Landry Shamet,PHO,Guard
30458,A.J. Green,MIL,Guard
30837,Lamar Stevens,CLE,Forward
30610,Dominick Barlow,SAS,Forward
30606,Devonte' Graham,SAS,Guard
30605,Devonte' Graham,SAS,Guard
30604,Devonte' Graham,SAS,Guard
30603,Devon Dotson,WAS,Guard
30602,Devin Vassell,SAS,Guard
30598,Derrick Rose,NYK,Guard
30597,Derrick Jones Jr.,CHI,Forward
30596,Dereon Seabron,NOP,Guard
30594,Dennis Smith Jr.,CHO,Guard
30592,Deni Avdija,WAS,Forward
30590,Delon Wright,WAS,Guard
30586,Dean Wade,CLE,Forward
30582,Day'Ron Sharpe,BRK,Center
30581,Davon Reed,LAL,Guard
30580,Davon Reed,LAL,Guard
30579,Davon Reed,LAL,Guard
30578,Dāvis Bertāns,DAL,Forward
30577,Davion Mitchell,SAC,Guard
30576,David Roddy,MEM,Forward
30575,David Duke Jr.,BRK,Guard
30573,Darius Days,HOU,Forward
30572,Darius Bazley,OKC,Forward
30571,Dario Šarić,OKC,Forward
30570,Dario Šarić,OKC,Forward
30569,Dario Šarić,OKC,Forward
30568,Danuel House Jr.,PHI,Forward
30562,Damion Lee,PHO,Guard
30607,Dewayne Dedmon,MIA,Center
30612,Donte DiVincenzo,GSW,Guard
30558,Damian Jones,UTA,Center
30613,Dorian Finney-Smith,BRK,Forward
30647,Gary Payton II,POR,Guard
30646,Gary Harris,ORL,Guard
30645,Garrison Mathews,ATL,Guard
30644,Garrison Mathews,ATL,Guard
30643,Garrison Mathews,ATL,Guard
30642,Garrett Temple,NOP,Guard
30641,Gabe Vincent,MIA,Guard
30640,Furkan Korkmaz,PHI,Guard
30637,Frank Ntilikina,DAL,Guard
30636,Frank Kaminsky,HOU,Center
30635,Frank Kaminsky,HOU,Center
30634,Frank Kaminsky,HOU,Center
30633,Facundo Campazzo,DAL,Guard
30631,Evan Fournier,NYK,Guard
30630,Eugene Omoruyi,OKC,Forward
30626,Edmond Sumner,BRK,Guard
30625,Dyson Daniels,NOP,Guard
30624,Dwight Powell,DAL,Center
30623,Duncan Robinson,MIA,Forward
30622,Duane Washington Jr.,PHO,Guard
30621,Dru Smith,BRK,Guard
30620,Dru Smith,BRK,Guard
30619,Dru Smith,BRK,Guard
30618,Drew Eubanks,POR,Center
30616,Doug McDermott,SAS,Forward
30615,Dorian Finney-Smith,BRK,Forward
30614,Dorian Finney-Smith,BRK,Forward
30559,Damian Jones,UTA,Center
30557,Dalen Terry,CHI,Guard
30650,George Hill,IND,Guard
30510,Bruno Fernando,ATL,Center
30504,Brandon Boston Jr.,LAC,Guard
30502,Bones Hyland,LAC,Guard
30501,Bones Hyland,LAC,Guard
30500,Bones Hyland,LAC,Guard
30499,Bol Bol,ORL,Forward
30495,Boban Marjanović,HOU,Center
30494,Blake Wesley,SAS,Guard
30492,Bismack Biyombo,PHO,Center
30488,Ayo Dosunmu,CHI,Guard
30487,Austin Rivers,MIN,Guard
30486,Austin Reaves,LAL,Guard
30485,Anthony Lamb,GSW,Forward
30484,Anthony Gill,WAS,Forward
30479,Andrew Nembhard,IND,Guard
30477,Andre Drummond,CHI,Center
30476,Amir Coffey,LAC,Guard
30473,Alize Johnson,SAS,Forward
30471,Alex Caruso,CHI,Guard
30470,Aleksej Pokusevski,OKC,Forward
30469,Alec Burks,DET,Guard
30467,AJ Griffin,ATL,Forward
30466,Admiral Schofield,ORL,Forward
30465,Aaron Wiggins,OKC,Guard
30464,Aaron Nesmith,IND,Forward
30463,Aaron Holiday,ATL,Guard
30461,A.J. Lawson,DAL,Guard
30460,A.J. Lawson,DAL,Guard
30507,Braxton Key,DET,Forward
30511,Bruno Fernando,ATL,Center
30556,Dalano Banton,TOR,Guard
30513,Bryce McGowens,CHO,Guard
30555,Daishen Nix,HOU,Guard
30554,D'Angelo Russell,LAL,Guard
30551,Cory Joseph,DET,Guard
30550,Corey Kispert,WAS,Forward
30548,Cole Swider,LAL,Forward
30547,Cole Anthony,ORL,Guard
30545,Cody Martin,CHO,Forward
30544,Coby White,CHI,Guard
30541,Chuma Okeke,ORL,Forward
30539,Christian Koloko,TOR,Center
30538,Christian Braun,DEN,Guard
30537,Chris Silva,DAL,Forward
30535,Chris Duarte,IND,Forward
30534,Chris Boucher,TOR,Forward
30533,Chimezie Metu,SAC,Center
30532,Chima Moneke,SAC,Forward
30531,Charles Bassey,SAS,Center
30530,Cedi Osman,CLE,Forward
30529,Carlik Jones,CHI,Guard
30522,Cam Reddish,POR,Forward
30521,Cam Reddish,POR,Forward
30520,Cam Reddish,POR,Forward
30519,Caleb Martin,MIA,Forward
30518,Caleb Houstan,ORL,Forward
30517,Cade Cunningham,DET,Guard
30515,Buddy Boeheim,DET,Guard
30514,Bryn Forbes,MIN,Guard
30649,George Hill,IND,Guard
30651,George Hill,IND,Guard
30836,KZ Okpala,SAC,Forward
30784,Justin Holiday,DAL,Guard
30782,Justin Champagnie,TOR,Forward
30779,Juancho Hernangómez,TOR,Forward
30778,Juan Toscano-Anderson,UTA,Forward
30777,Juan Toscano-Anderson,UTA,Forward
30776,Juan Toscano-Anderson,UTA,Forward
30775,JT Thor,CHO,Forward
30773,Joshua Primo,SAS,Guard
30772,Josh Richardson,NOP,Guard
30459,A.J. Lawson,DAL,Guard
30770,Josh Richardson,NOP,Guard
30769,Josh Okogie,PHO,Guard
30768,Josh Minott,MIN,Forward
30764,Josh Green,DAL,Guard
30762,Josh Christopher,HOU,Guard
30761,Jose Alvarado,NOP,Guard
30760,Jordan Schakel,WAS,Forward
30758,Jordan Nwora,IND,Forward
30757,Jordan Nwora,IND,Forward
30756,Jordan Nwora,IND,Forward
30755,Jordan McLaughlin,MIN,Guard
30754,Jordan Hall,SAS,Forward
30753,Jordan Goodwin,WAS,Guard
30751,Jonathan Kuminga,GSW,Forward
30750,Jonathan Isaac,ORL,Forward
30748,Johnny Juzang,UTA,Forward
30747,Johnny Davis,WAS,Guard
30745,John Konchar,MEM,Guard
30783,Justin Holiday,DAL,Guard
30785,Justin Holiday,DAL,Guard
30741,Joe Wieskamp,TOR,Forward
30786,Justin Jackson,BOS,Forward
30828,Kris Dunn,UTA,Guard
30826,Kira Lewis Jr.,NOP,Guard
30825,Killian Hayes,DET,Guard
30823,Khem Birch,TOR,Center
30821,Kevon Harris,ORL,Guard
30818,Kevin Love,MIA,Forward
30817,Kevin Love,MIA,Forward
30816,Kevin Knox,POR,Forward
30815,Kevin Knox,POR,Forward
30814,Kevin Knox,POR,Forward
30810,Kessler Edwards,SAC,Forward
30809,Kessler Edwards,SAC,Forward
30808,Keon Johnson,POR,Guard
30807,Keon Ellis,SAC,Guard
30806,Kenyon Martin Jr.,HOU,Forward
30804,Kenrich Williams,OKC,Forward
30803,Kenneth Lofton Jr.,MEM,Forward
30802,Kennedy Chandler,MEM,Guard
30801,Kendrick Nunn,WAS,Guard
30800,Kendrick Nunn,WAS,Guard
30799,Kendrick Nunn,WAS,Guard
30798,Kendall Brown,IND,Guard
30797,Kemba Walker,DAL,Guard
30796,Kelly Oubre Jr.,CHO,Forward
30793,Keita Bates-Diop,SAS,Forward
30789,Kai Jones,CHO,Center
30787,Justise Winslow,POR,Forward
30743,John Butler,POR,Center
30739,Joe Harris,BRK,Guard
30652,Georges Niang,PHI,Forward
30690,Jake LaRavia,MEM,Forward
30686,Jaden McDaniels,MIN,Forward
30685,Jaden Ivey,DET,Guard
30684,Jaden Hardy,DAL,Guard
30683,Jack White,DEN,Forward
30682,Jabari Walker,POR,Forward
30681,Jabari Smith Jr.,HOU,Forward
30678,Ish Wainright,PHO,Forward
30677,Ish Smith,DEN,Guard
30676,Isaiah Todd,WAS,Forward
30675,Isaiah Stewart,DET,Center
30674,Isaiah Roby,SAS,Forward
30673,Isaiah Mobley,CLE,Forward
30672,Isaiah Livers,DET,Forward
30671,Isaiah Joe,OKC,Guard
30670,Isaiah Jackson,IND,Center
30669,Isaiah Hartenstein,NYK,Center
30668,Isaac Okoro,CLE,Forward
30666,Herbert Jones,NOP,Forward
30665,Haywood Highsmith,MIA,Forward
30663,Hamidou Diallo,DET,Guard
30662,Greg Brown III,POR,Forward
30660,Grant Williams,BOS,Forward
30659,Gorgui Dieng,SAS,Center
30658,Gordon Hayward,CHO,Forward
30657,Goran Dragić,CHI,Guard
30655,Goga Bitadze,ORL,Center
30654,Goga Bitadze,ORL,Center
30689,Jae'Sean Tate,HOU,Forward
30695,Jalen Duren,DET,Center
30738,Jock Landale,PHO,Center
30697,Jalen Johnson,ATL,Forward
30736,Jevon Carter,MIL,Guard
30735,Jericho Sims,NYK,Center
30734,Jeremy Sochan,SAS,Forward
30733,Jeremiah Robinson-Earl,OKC,Forward
30730,Jeff Dowtin,TOR,Guard
30727,Jaylin Williams,OKC,Forward
30726,Jaylen Nowell,MIN,Guard
30724,Jaxson Hayes,NOP,Center
30723,Javonte Green,CHI,Guard
30722,JaVale McGee,DAL,Center
30721,Jason Preston,LAC,Guard
30720,Jarrett Culver,ATL,Guard
30718,Jarred Vanderbilt,LAL,Forward
30717,Jarred Vanderbilt,LAL,Forward
30716,Jarred Vanderbilt,LAL,Forward
30714,Jared Rhoden,DET,Guard
30713,JaMychal Green,GSW,Forward
30712,James Wiseman,DET,Center
30711,James Wiseman,DET,Center
30710,James Wiseman,DET,Center
30709,James Johnson,IND,Forward
30707,James Bouknight,CHO,Guard
30706,Jamaree Bouyea,MIA,Guard
30704,Jamal Cain,MIA,Forward
30702,Jalen Suggs,ORL,Guard
30701,Jalen Smith,IND,Forward
30698,Jalen McDaniels,PHI,Forward
30771,Josh Richardson,NOP,Guard
