seas_id,player,tm,season,age,experience,g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs,w,l,forward,guard,center,All-NBA Probability
30931,OG Anunoby,TOR,2023,25,6,49,49,1750,298,657,90,251,208,406,116,141,72,194,266,98,98,37,106,150,802,0,31,32,1,0,0,0.01
30699,Jalen McDaniels,PHI,2023,25,4,56,21,1494,221,494,65,202,156,292,88,104,44,226,270,111,66,29,80,158,595,0,39,21,1,0,0,0.01
30700,Jalen McDaniels,PHI,2023,25,4,6,0,96,10,22,2,4,8,18,4,7,8,14,22,6,3,0,1,13,26,0,39,21,1,0,0,0.01
30889,Michael Foster Jr.,PHI,2023,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,21,1,0,0,0.01
30478,Andre Iguodala,GSW,2023,39,19,3,0,42,3,4,1,2,2,2,0,0,1,6,7,5,1,1,5,5,7,0,32,30,1,0,0,0.01
30740,Joe Ingles,MIL,2023,35,9,28,0,628,58,152,41,120,17,32,12,15,8,74,82,85,17,5,31,48,169,0,44,17,1,0,0,0.01
30744,John Collins,ATL,2023,25,6,52,52,1607,267,526,42,166,225,360,108,132,58,304,362,62,34,62,63,165,684,0,31,31,1,0,0,0.01
30990,Saddiq Bey,ATL,2023,23,3,52,30,1500,245,606,101,293,144,313,180,209,59,183,242,84,50,12,54,86,771,0,31,31,1,0,0,0.01
30608,Dillon Brooks,MEM,2023,27,6,55,55,1668,300,771,99,316,201,455,98,124,36,145,181,139,47,10,81,183,797,0,37,23,1,0,0,0.01
30994,Santi Aldama,MEM,2023,22,2,57,18,1247,189,399,76,211,113,188,78,107,59,204,263,69,39,39,41,108,532,0,37,23,1,0,0,0.01
30780,Julian Champagnie,PHI,2023,21,1,2,0,7,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,39,21,1,0,0,0.01
30584,De'Andre Hunter,ATL,2023,25,4,52,52,1651,291,631,83,226,208,405,146,176,33,191,224,73,28,12,62,158,811,0,31,31,1,0,0,0.01
30526,Cameron Johnson,BRK,2023,26,4,6,6,175,35,77,14,45,21,32,16,20,2,21,23,9,11,2,4,11,100,0,34,27,1,0,0,0.01
30887,Mfiondu Kabengele,BOS,2023,25,3,2,0,14,1,2,0,1,1,1,0,0,3,2,5,0,0,0,1,3,2,0,44,18,1,0,0,0.01
30491,Bennedict Mathurin,IND,2023,20,1,63,6,1778,341,797,87,270,254,527,308,371,71,188,259,91,39,7,114,132,1077,0,28,35,1,0,0,0.01
30525,Cameron Johnson,BRK,2023,26,4,17,16,429,82,173,45,99,37,74,27,33,14,51,65,26,15,6,10,29,236,0,34,27,1,0,0,0.01
30524,Cameron Johnson,BRK,2023,26,4,23,22,604,117,250,59,144,58,106,43,53,16,72,88,35,26,8,14,40,336,0,34,27,1,0,0,0.01
