Player,Year,Team,Role,MVP,Team
Michael Finley,2000,West,Reserve,N,DAL
Karl Malone,2000,West,Reserve,N,UTA
Gary Payton,2000,West,Reserve,N,SEA
David Robinson,2000,West,Reserve,N,SAS
John Stockton,2000,West,Reserve,N,UTA
Rasheed Wallace,2000,West,Reserve,N,POR
Chris Webber,2000,West,Reserve,N,SAC
Anfernee Hardaway,1998,East,Starter,N,ORL
Grant Hill,1998,East,Starter,N,DET
Michael Jordan,1998,East,Starter,Y,CHI
Shawn Kemp,1998,East,Starter,N,CLE
Dikembe Mutombo,1998,East,Starter,N,ATL
Tim Hardaway,1998,East,Reserve,N,MIA
Reggie Miller,1998,East,Reserve,N,IND
Glen Rice,1998,East,Reserve,N,CHH
Steve Smith,1998,East,Reserve,N,ATL
Rik Smits,1998,East,Reserve,N,IND
Antoine Walker,1998,East,Reserve,N,BOS
Jayson Williams,1998,East,Reserve,N,NJN
Kobe Bryant,1998,West,Starter,N,LAL
Kevin Garnett,1998,West,Starter,N,MIN
Karl Malone,1998,West,Starter,N,UTA
Shaquille O'Neal,1998,West,Starter,N,LAL
Gary Payton,1998,West,Starter,N,SEA
Vin Baker,1998,West,Reserve,N,SEA
Tim Duncan,1998,West,Reserve,N,SAS
Eddie Jones,1998,West,Reserve,N,LAL
Jason Kidd,1998,West,Reserve,N,PHO
Mitch Richmond,1998,West,Reserve,N,SAC
David Robinson,1998,West,Reserve,N,SAS
Nick Van Exel,1998,West,Reserve,N,LAL
Anfernee Hardaway,1997,East,Starter,N,ORL
Grant Hill,1997,East,Starter,N,DET
Michael Jordan,1997,East,Starter,N,CHI
Dikembe Mutombo,1997,East,Starter,N,ATL
Scottie Pippen,1997,East,Starter,N,CHI
Vin Baker,1997,East,Reserve,N,MIL
Terrell Brandon,1997,East,Reserve,N,CLE
Joe Dumars,1997,East,Reserve,N,DET
Tim Hardaway,1997,East,Reserve,N,MIA
Christian Laettner,1997,East,Reserve,N,ATL
Glen Rice,1997,East,Reserve,Y,CHH
Chris Webber,1997,East,Reserve,N,WSB
Shawn Kemp,1997,West,Starter,N,SEA
Karl Malone,1997,West,Starter,N,UTA
Hakeem Olajuwon,1997,West,Starter,N,HOU
Gary Payton,1997,West,Starter,N,SEA
John Stockton,1997,West,Starter,N,UTA
Kevin Garnett,1997,West,Reserve,N,MIN
Chris Gatling,1997,West,Reserve,N,DAL
Tom Gugliotta,1997,West,Reserve,N,MIN
Eddie Jones,1997,West,Reserve,N,LAL
Mitch Richmond,1997,West,Reserve,N,SAC
Detlef Schrempf,1997,West,Reserve,N,SEA
Latrell Sprewell,1997,West,Reserve,N,GSW
Charles Barkley,1997,West,DNP,N,NA
Clyde Drexler,1997,West,DNP,N,NA
Patrick Ewing,1997,West,DNP,N,NA
Alonzo Mourning,1997,West,DNP,N,MIA
Shaquille O'Neal,1997,West,DNP,N,NA
Anfernee Hardaway,1996,East,Starter,N,ORL
Grant Hill,1996,East,Starter,N,DET
Michael Jordan,1996,East,Starter,Y,CHI
Shaquille O'Neal,1996,East,Starter,N,ORL
Scottie Pippen,1996,East,Starter,N,CHI
Vin Baker,1996,East,Reserve,N,MIL
Terrell Brandon,1996,East,Reserve,N,CLE
Patrick Ewing,1996,East,Reserve,N,NYK
Juwan Howard,1996,East,Reserve,N,WSB
Reggie Miller,1996,East,Reserve,N,IND
Alonzo Mourning,1996,East,Reserve,N,MIA
Glen Rice,1996,East,Reserve,N,CHH
Charles Barkley,1996,West,Starter,N,PHO
Clyde Drexler,1996,West,Starter,N,HOU
Shawn Kemp,1996,West,Starter,N,SEA
Jason Kidd,1996,West,Starter,N,DAL
Hakeem Olajuwon,1996,West,Starter,N,HOU
Sean Elliott,1996,West,Reserve,N,SAS
Karl Malone,1996,West,Reserve,N,UTA
Dikembe Mutombo,1996,West,Reserve,N,DEN
Gary Payton,1996,West,Reserve,N,SEA
Mitch Richmond,1996,West,Reserve,N,SAC
David Robinson,1996,West,Reserve,N,SAS
John Stockton,1996,West,Reserve,N,UTA
Anfernee Hardaway,1995,East,Starter,N,ORL
Grant Hill,1995,East,Starter,N,DET
Reggie Miller,1995,East,Starter,N,IND
Shaquille O'Neal,1995,East,Starter,N,ORL
Scottie Pippen,1995,East,Starter,N,CHI
Vin Baker,1995,East,Reserve,N,MIL
Dana Barros,1995,East,Reserve,N,PHI
Joe Dumars,1995,East,Reserve,N,DET
Patrick Ewing,1995,East,Reserve,N,NYK
Tyrone Hill,1995,East,Reserve,N,CLE
Larry Johnson,1995,East,Reserve,N,CHH
Alonzo Mourning,1995,East,Reserve,N,CHH
Charles Barkley,1995,West,Starter,N,PHO
Shawn Kemp,1995,West,Starter,N,SEA
Dan Majerle,1995,West,Starter,N,PHO
Hakeem Olajuwon,1995,West,Starter,N,HOU
Latrell Sprewell,1995,West,Starter,N,GSW
Karl Malone,1995,West,Reserve,N,UTA
Dikembe Mutombo,1995,West,Reserve,N,DEN
Gary Payton,1995,West,Reserve,N,SEA
Mitch Richmond,1995,West,Reserve,Y,SAC
David Robinson,1995,West,Reserve,N,SAS
Detlef Schrempf,1995,West,Reserve,N,SEA
John Stockton,1995,West,Reserve,N,UTA
Cedric Ceballos,1995,West,DNP,N,NA
Kenny Anderson,1994,East,Starter,N,NJN
B.J. Armstrong,1994,East,Starter,N,CHI
Derrick Coleman,1994,East,Starter,N,NJN
Shaquille O'Neal,1994,East,Starter,N,ORL
Scottie Pippen,1994,East,Starter,Y,CHI
Mookie Blaylock,1994,East,Reserve,N,ATL
Patrick Ewing,1994,East,Reserve,N,NYK
Horace Grant,1994,East,Reserve,N,CHI
Charles Oakley,1994,East,Reserve,N,NYK
Mark Price,1994,East,Reserve,N,CLE
John Starks,1994,East,Reserve,N,NYK
Dominique Wilkins,1994,East,Reserve,N,ATL
Clyde Drexler,1994,West,Starter,N,POR
Shawn Kemp,1994,West,Starter,N,SEA
Karl Malone,1994,West,Starter,N,UTA
Hakeem Olajuwon,1994,West,Starter,N,HOU
Mitch Richmond,1994,West,Starter,N,SAC
Kevin Johnson,1994,West,Reserve,N,PHO
Danny Manning,1994,West,Reserve,N,LAC
Gary Payton,1994,West,Reserve,N,SEA
Clifford Robinson,1994,West,Reserve,N,POR
David Robinson,1994,West,Reserve,N,SAS
Latrell Sprewell,1994,West,Reserve,N,GSW
John Stockton,1994,West,Reserve,N,UTA
Charles Barkley,1994,West,DNP,N,NA
Alonzo Mourning,1994,West,DNP,N,MIA
Larry Johnson,1993,East,Starter,N,CHH
Michael Jordan,1993,East,Starter,N,CHI
Shaquille O'Neal,1993,East,Starter,N,ORL
Scottie Pippen,1993,East,Starter,N,CHI
Isiah Thomas,1993,East,Starter,N,DET
Brad Daugherty,1993,East,Reserve,N,CLE
Joe Dumars,1993,East,Reserve,N,DET
Patrick Ewing,1993,East,Reserve,N,NYK
Larry Nance,1993,East,Reserve,N,CLE
Mark Price,1993,East,Reserve,N,CLE
Detlef Schrempf,1993,East,Reserve,N,IND
Dominique Wilkins,1993,East,Reserve,N,ATL
Charles Barkley,1993,West,Starter,N,PHO
Clyde Drexler,1993,West,Starter,N,POR
Karl Malone,1993,West,Starter,Y,UTA
David Robinson,1993,West,Starter,N,SAS
John Stockton,1993,West,Starter,Y,UTA
Sean Elliott,1993,West,Reserve,N,SAS
Tim Hardaway,1993,West,Reserve,N,GSW
Shawn Kemp,1993,West,Reserve,N,SEA
Dan Majerle,1993,West,Reserve,N,PHO
Danny Manning,1993,West,Reserve,N,LAC
Hakeem Olajuwon,1993,West,Reserve,N,HOU
Terry Porter,1993,West,Reserve,N,POR
Chris Mullin,1993,West,DNP,N,NA
Mitch Richmond,1993,West,DNP,N,NA
Charles Barkley,1992,East,Starter,N,PHI
Patrick Ewing,1992,East,Starter,N,NYK
Michael Jordan,1992,East,Starter,N,CHI
Scottie Pippen,1992,East,Starter,N,CHI
Isiah Thomas,1992,East,Starter,N,DET
Michael Adams,1992,East,Reserve,N,WSB
Brad Daugherty,1992,East,Reserve,N,CLE
Joe Dumars,1992,East,Reserve,N,DET
Reggie Lewis,1992,East,Reserve,N,BOS
Mark Price,1992,East,Reserve,N,CLE
Dennis Rodman,1992,East,Reserve,N,DET
Kevin Willis,1992,East,Reserve,N,ATL
Clyde Drexler,1992,West,Starter,N,POR
Magic Johnson,1992,West,Starter,Y,LAL
Karl Malone,1992,West,Starter,N,UTA
Chris Mullin,1992,West,Starter,N,GSW
David Robinson,1992,West,Starter,N,SAS
Tim Hardaway,1992,West,Reserve,N,GSW
Jeff Hornacek,1992,West,Reserve,N,PHO
Dan Majerle,1992,West,Reserve,N,PHO
Dikembe Mutombo,1992,West,Reserve,N,DEN
Hakeem Olajuwon,1992,West,Reserve,N,HOU
John Stockton,1992,West,Reserve,N,UTA
Otis Thorpe,1992,West,Reserve,N,HOU
James Worthy,1992,West,Reserve,N,LAL
Larry Bird,1992,West,DNP,N,BOS
Dominique Wilkins,1992,West,DNP,N,NA
Charles Barkley,1991,East,Starter,Y,PHI
Joe Dumars,1991,East,Starter,N,DET
Patrick Ewing,1991,East,Starter,N,NYK
Michael Jordan,1991,East,Starter,N,CHI
Bernard King,1991,East,Starter,N,WSB
Brad Daugherty,1991,East,Reserve,N,CLE
Hersey Hawkins,1991,East,Reserve,N,PHI
Kevin McHale,1991,East,Reserve,N,BOS
Robert Parish,1991,East,Reserve,N,BOS
Ricky Pierce,1991,East,Reserve,N,MIL
Alvin Robertson,1991,East,Reserve,N,MIL
Dominique Wilkins,1991,East,Reserve,N,ATL
Kevin Johnson,1991,West,Starter,N,PHO
Magic Johnson,1991,West,Starter,N,LAL
Karl Malone,1991,West,Starter,N,UTA
Chris Mullin,1991,West,Starter,N,GSW
David Robinson,1991,West,Starter,N,SAS
Tom Chambers,1991,West,Reserve,N,PHO
Clyde Drexler,1991,West,Reserve,N,POR
Kevin Duckworth,1991,West,Reserve,N,POR
Tim Hardaway,1991,West,Reserve,N,GSW
Terry Porter,1991,West,Reserve,N,POR
John Stockton,1991,West,Reserve,N,UTA
James Worthy,1991,West,Reserve,N,LAL
Larry Bird,1991,West,DNP,N,BOS
Isiah Thomas,1991,West,DNP,N,NA
Charles Barkley,1990,East,Starter,N,PHI
Larry Bird,1990,East,Starter,N,BOS
Patrick Ewing,1990,East,Starter,N,NYK
Michael Jordan,1990,East,Starter,N,CHI
Isiah Thomas,1990,East,Starter,N,DET
Joe Dumars,1990,East,Reserve,N,DET
Kevin McHale,1990,East,Reserve,N,BOS
Reggie Miller,1990,East,Reserve,N,IND
Robert Parish,1990,East,Reserve,N,BOS
Scottie Pippen,1990,East,Reserve,N,CHI
Dennis Rodman,1990,East,Reserve,N,DET
Dominique Wilkins,1990,East,Reserve,N,ATL
A.C. Green,1990,West,Starter,N,LAL
Magic Johnson,1990,West,Starter,Y,LAL
Hakeem Olajuwon,1990,West,Starter,N,HOU
John Stockton,1990,West,Starter,N,UTA
James Worthy,1990,West,Starter,N,LAL
Rolando Blackman,1990,West,Reserve,N,DAL
Tom Chambers,1990,West,Reserve,N,PHO
Clyde Drexler,1990,West,Reserve,N,POR
Kevin Johnson,1990,West,Reserve,N,PHO
Fat Lever,1990,West,Reserve,N,DEN
Chris Mullin,1990,West,Reserve,N,GSW
David Robinson,1990,West,Reserve,N,SAS
Karl Malone,1990,West,DNP,N,NA
Charles Barkley,1989,East,Starter,N,PHI
Michael Jordan,1989,East,Starter,N,CHI
Moses Malone,1989,East,Starter,N,ATL
Isiah Thomas,1989,East,Starter,N,DET
Dominique Wilkins,1989,East,Starter,N,ATL
Terry Cummings,1989,East,Reserve,N,MIL
Brad Daugherty,1989,East,Reserve,N,CLE
Patrick Ewing,1989,East,Reserve,N,NYK
Mark Jackson,1989,East,Reserve,N,NYK
Kevin McHale,1989,East,Reserve,N,BOS
Larry Nance,1989,East,Reserve,N,CLE
Mark Price,1989,East,Reserve,N,CLE
Dale Ellis,1989,West,Starter,N,SEA
Alex English,1989,West,Starter,N,DEN
Karl Malone,1989,West,Starter,Y,UTA
Hakeem Olajuwon,1989,West,Starter,N,HOU
John Stockton,1989,West,Starter,N,UTA
Tom Chambers,1989,West,Reserve,N,PHO
Clyde Drexler,1989,West,Reserve,N,POR
Kevin Duckworth,1989,West,Reserve,N,POR
Mark Eaton,1989,West,Reserve,N,UTA
Chris Mullin,1989,West,Reserve,N,GSW
James Worthy,1989,West,Reserve,N,LAL
Kareem Abdul-Jabbar,1989,West,DNP,N,LAL
Magic Johnson,1989,West,DNP,N,LAL
Larry Bird,1988,East,Starter,N,BOS
Michael Jordan,1988,East,Starter,Y,CHI
Moses Malone,1988,East,Starter,N,WSB
Isiah Thomas,1988,East,Starter,N,DET
Dominique Wilkins,1988,East,Starter,N,ATL
Danny Ainge,1988,East,Reserve,N,BOS
Charles Barkley,1988,East,Reserve,N,PHI
Maurice Cheeks,1988,East,Reserve,N,PHI
Brad Daugherty,1988,East,Reserve,N,CLE
Patrick Ewing,1988,East,Reserve,N,NYK
Kevin McHale,1988,East,Reserve,N,BOS
Doc Rivers,1988,East,Reserve,N,ATL
Alex English,1988,West,Starter,N,DEN
Magic Johnson,1988,West,Starter,N,LAL
Fat Lever,1988,West,Starter,N,DEN
Karl Malone,1988,West,Starter,N,UTA
Hakeem Olajuwon,1988,West,Starter,N,HOU
Kareem Abdul-Jabbar,1988,West,Reserve,N,LAL
Mark Aguirre,1988,West,Reserve,N,DAL
James Donaldson,1988,West,Reserve,N,DAL
Clyde Drexler,1988,West,Reserve,N,POR
Xavier McDaniel,1988,West,Reserve,N,SEA
Alvin Robertson,1988,West,Reserve,N,SAS
James Worthy,1988,West,Reserve,N,LAL
Steve Johnson,1988,West,DNP,N,NA
Larry Bird,1987,East,Starter,N,BOS
Julius Erving,1987,East,Starter,N,PHI
Michael Jordan,1987,East,Starter,N,CHI
Moses Malone,1987,East,Starter,N,WSB
Dominique Wilkins,1987,East,Starter,N,ATL
Charles Barkley,1987,East,Reserve,N,PHI
Maurice Cheeks,1987,East,Reserve,N,PHI
Bill Laimbeer,1987,East,Reserve,N,DET
Jeff Malone,1987,East,Reserve,N,WSB
Kevin McHale,1987,East,Reserve,N,BOS
Robert Parish,1987,East,Reserve,N,BOS
Isiah Thomas,1987,East,Reserve,N,DET
Tom Chambers,1987,West,Starter,Y,SEA
Magic Johnson,1987,West,Starter,N,LAL
Hakeem Olajuwon,1987,West,Starter,N,HOU
Alvin Robertson,1987,West,Starter,N,SAS
James Worthy,1987,West,Starter,N,LAL
Kareem Abdul-Jabbar,1987,West,Reserve,N,LAL
Mark Aguirre,1987,West,Reserve,N,DAL
Rolando Blackman,1987,West,Reserve,N,DAL
Joe Barry Carroll,1987,West,Reserve,N,GSW
Walter Davis,1987,West,Reserve,N,PHO
Alex English,1987,West,Reserve,N,DEN
Sleepy Floyd,1987,West,Reserve,N,GSW
Ralph Sampson,1987,West,DNP,N,NA
Larry Bird,1986,East,Starter,N,BOS
Julius Erving,1986,East,Starter,N,PHI
Moses Malone,1986,East,Starter,N,PHI
Sidney Moncrief,1986,East,Starter,N,MIL
Isiah Thomas,1986,East,Starter,Y,DET
Maurice Cheeks,1986,East,Reserve,N,PHI
Jeff Malone,1986,East,Reserve,N,WSB
Kevin McHale,1986,East,Reserve,N,BOS
Robert Parish,1986,East,Reserve,N,BOS
Dominique Wilkins,1986,East,Reserve,N,ATL
Buck Williams,1986,East,Reserve,N,NJN
Kareem Abdul-Jabbar,1986,West,Starter,N,LAL
Magic Johnson,1986,West,Starter,N,LAL
Alvin Robertson,1986,West,Starter,N,SAS
Ralph Sampson,1986,West,Starter,N,HOU
James Worthy,1986,West,Starter,N,LAL
Rolando Blackman,1986,West,Reserve,N,DAL
Adrian Dantley,1986,West,Reserve,N,UTA
Clyde Drexler,1986,West,Reserve,N,POR
Alex English,1986,West,Reserve,N,DEN
Artis Gilmore,1986,West,Reserve,N,SAS
Marques Johnson,1986,West,Reserve,N,LAC
Hakeem Olajuwon,1986,West,Reserve,N,HOU
Patrick Ewing,1986,West,DNP,N,NYK
Michael Jordan,1986,West,DNP,N,CHI
Larry Bird,1985,East,Starter,N,BOS
Julius Erving,1985,East,Starter,N,PHI
Michael Jordan,1985,East,Starter,N,CHI
Moses Malone,1985,East,Starter,N,PHI
Isiah Thomas,1985,East,Starter,N,DET
Terry Cummings,1985,East,Reserve,N,MIL
Dennis Johnson,1985,East,Reserve,N,BOS
Bernard King,1985,East,Reserve,N,NYK
Bill Laimbeer,1985,East,Reserve,N,DET
Sidney Moncrief,1985,East,Reserve,N,MIL
Robert Parish,1985,East,Reserve,N,BOS
Micheal Ray Richardson,1985,East,Reserve,N,NJN
Kareem Abdul-Jabbar,1985,West,Starter,N,LAL
Adrian Dantley,1985,West,Starter,N,UTA
George Gervin,1985,West,Starter,N,SAS
Magic Johnson,1985,West,Starter,N,LAL
Ralph Sampson,1985,West,Starter,Y,HOU
Rolando Blackman,1985,West,Reserve,N,DAL
Alex English,1985,West,Reserve,N,DEN
Larry Nance,1985,West,Reserve,N,PHO
Calvin Natt,1985,West,Reserve,N,DEN
Norm Nixon,1985,West,Reserve,N,LAC
Hakeem Olajuwon,1985,West,Reserve,N,HOU
Jack Sikma,1985,West,Reserve,N,SEA
Jeff Ruland,1985,West,DNP,N,NA
Larry Bird,1984,East,Starter,N,BOS
Julius Erving,1984,East,Starter,N,PHI
Sidney Moncrief,1984,East,Starter,N,MIL
Robert Parish,1984,East,Starter,N,BOS
Isiah Thomas,1984,East,Starter,Y,DET
Otis Birdsong,1984,East,Reserve,N,NJN
Bernard King,1984,East,Reserve,N,NYK
Bill Laimbeer,1984,East,Reserve,N,DET
Kevin McHale,1984,East,Reserve,N,BOS
Jeff Ruland,1984,East,Reserve,N,WSB
Andrew Toney,1984,East,Reserve,N,PHI
Kelly Tripucka,1984,East,Reserve,N,DET
Kareem Abdul-Jabbar,1984,West,Starter,N,LAL
Adrian Dantley,1984,West,Starter,N,UTA
Alex English,1984,West,Starter,N,DEN
George Gervin,1984,West,Starter,N,SAS
Magic Johnson,1984,West,Starter,N,LAL
Mark Aguirre,1984,West,Reserve,N,DAL
Walter Davis,1984,West,Reserve,N,PHO
Rickey Green,1984,West,Reserve,N,UTA
Jim Paxson,1984,West,Reserve,N,POR
Ralph Sampson,1984,West,Reserve,N,HOU
Jack Sikma,1984,West,Reserve,N,SEA
Kiki Vandeweghe,1984,West,Reserve,N,DEN
Moses Malone,1984,West,DNP,N,NA
Larry Bird,1983,East,Starter,N,BOS
Maurice Cheeks,1983,East,Starter,N,PHI
Julius Erving,1983,East,Starter,Y,PHI
Moses Malone,1983,East,Starter,N,PHI
Isiah Thomas,1983,East,Starter,N,DET
Marques Johnson,1983,East,Reserve,N,MIL
Bill Laimbeer,1983,East,Reserve,N,DET
Sidney Moncrief,1983,East,Reserve,N,MIL
Robert Parish,1983,East,Reserve,N,BOS
Reggie Theus,1983,East,Reserve,N,CHI
Andrew Toney,1983,East,Reserve,N,PHI
Buck Williams,1983,East,Reserve,N,NJN
Kareem Abdul-Jabbar,1983,West,Starter,N,LAL
Alex English,1983,West,Starter,N,DEN
Magic Johnson,1983,West,Starter,N,LAL
Maurice Lucas,1983,West,Starter,N,PHO
David Thompson,1983,West,Starter,N,SEA
George Gervin,1983,West,Reserve,N,SAS
Artis Gilmore,1983,West,Reserve,N,SAS
Jim Paxson,1983,West,Reserve,N,POR
Jack Sikma,1983,West,Reserve,N,SEA
Kiki Vandeweghe,1983,West,Reserve,N,DEN
Jamaal Wilkes,1983,West,Reserve,N,LAL
Gus Williams,1983,West,Reserve,N,SEA
Tiny Archibald,1982,East,Starter,N,BOS
Larry Bird,1982,East,Starter,Y,BOS
Julius Erving,1982,East,Starter,N,PHI
Artis Gilmore,1982,East,Starter,N,CHI
Isiah Thomas,1982,East,Starter,N,DET
Bobby Jones,1982,East,Reserve,N,PHI
Bob Lanier,1982,East,Reserve,N,MIL
Sidney Moncrief,1982,East,Reserve,N,MIL
Robert Parish,1982,East,Reserve,N,BOS
Micheal Ray Richardson,1982,East,Reserve,N,NYK
Kelly Tripucka,1982,East,Reserve,N,DET
Buck Williams,1982,East,Reserve,N,NJN
Kareem Abdul-Jabbar,1982,West,Starter,N,LAL
Adrian Dantley,1982,West,Starter,N,UTA
George Gervin,1982,West,Starter,N,SAS
Lonnie Shelton,1982,West,Starter,N,SEA
Gus Williams,1982,West,Starter,N,SEA
Alex English,1982,West,Reserve,N,DEN
Dennis Johnson,1982,West,Reserve,N,PHO
Magic Johnson,1982,West,Reserve,N,LAL
Bernard King,1982,West,Reserve,N,GSW
Moses Malone,1982,West,Reserve,N,HOU
Norm Nixon,1982,West,Reserve,N,LAL
Jack Sikma,1982,West,Reserve,N,SEA
Dan Roundfield,1982,West,DNP,N,ATL
Larry Bird,1981,East,Starter,N,BOS
Julius Erving,1981,East,Starter,N,PHI
Artis Gilmore,1981,East,Starter,N,CHI
Eddie Johnson,1981,East,Starter,N,ATL
Reggie Theus,1981,East,Starter,N,CHI
Tiny Archibald,1981,East,Reserve,Y,BOS
Marques Johnson,1981,East,Reserve,N,MIL
Bobby Jones,1981,East,Reserve,N,PHI
Mike Mitchell,1981,East,Reserve,N,CLE
Robert Parish,1981,East,Reserve,N,BOS
Micheal Ray Richardson,1981,East,Reserve,N,NYK
Kareem Abdul-Jabbar,1981,West,Starter,N,LAL
Adrian Dantley,1981,West,Starter,N,UTA
Walter Davis,1981,West,Starter,N,PHO
George Gervin,1981,West,Starter,N,SAS
Paul Westphal,1981,West,Starter,N,SEA
Otis Birdsong,1981,West,Reserve,N,KCK
Dennis Johnson,1981,West,Reserve,N,PHO
Moses Malone,1981,West,Reserve,N,HOU
Truck Robinson,1981,West,Reserve,N,PHO
Jack Sikma,1981,West,Reserve,N,SEA
Jamaal Wilkes,1981,West,Reserve,N,LAL
Dan Roundfield,1981,West,DNP,N,ATL
John Drew,1980,East,Starter,N,ATL
Julius Erving,1980,East,Starter,N,PHI
George Gervin,1980,East,Starter,Y,SAS
Eddie Johnson,1980,East,Starter,N,ATL
Moses Malone,1980,East,Starter,N,HOU
Tiny Archibald,1980,East,Reserve,N,BOS
Larry Bird,1980,East,Reserve,N,BOS
Bill Cartwright,1980,East,Reserve,N,NYK
Elvin Hayes,1980,East,Reserve,N,WSB
Micheal Ray Richardson,1980,East,Reserve,N,NYK
Dan Roundfield,1980,East,Reserve,N,ATL
Kareem Abdul-Jabbar,1980,West,Starter,N,LAL
Adrian Dantley,1980,West,Starter,N,UTA
World B. Free,1980,West,Starter,N,SDC
Magic Johnson,1980,West,Starter,N,LAL
Marques Johnson,1980,West,Starter,N,MIL
Otis Birdsong,1980,West,Reserve,N,KCK
Walter Davis,1980,West,Reserve,N,PHO
Dennis Johnson,1980,West,Reserve,N,SEA
Jack Sikma,1980,West,Reserve,N,SEA
Kermit Washington,1980,West,Reserve,N,POR
Paul Westphal,1980,West,Reserve,N,PHO
Dave Cowens,1980,West,DNP,N,NA
Scott Wedman,1980,West,DNP,N,NA
Julius Erving,1979,East,Starter,N,PHI
George Gervin,1979,East,Starter,N,SAS
Moses Malone,1979,East,Starter,N,HOU
Pete Maravich,1979,East,Starter,N,NOJ
Rudy Tomjanovich,1979,East,Starter,N,HOU
Bob Dandridge,1979,East,Reserve,N,WSB
Elvin Hayes,1979,East,Reserve,N,WSB
Larry Kenon,1979,East,Reserve,N,SAS
Bob Lanier,1979,East,Reserve,N,DET
Calvin Murphy,1979,East,Reserve,N,HOU
Campy Russell,1979,East,Reserve,N,CLE
Kareem Abdul-Jabbar,1979,West,Starter,N,LAL
Marques Johnson,1979,West,Starter,N,MIL
George McGinnis,1979,West,Starter,N,DEN
David Thompson,1979,West,Starter,Y,DEN
Paul Westphal,1979,West,Starter,N,PHO
Otis Birdsong,1979,West,Reserve,N,KCK
Walter Davis,1979,West,Reserve,N,PHO
Artis Gilmore,1979,West,Reserve,N,CHI
Dennis Johnson,1979,West,Reserve,N,SEA
Maurice Lucas,1979,West,Reserve,N,POR
Jack Sikma,1979,West,Reserve,N,SEA
Doug Collins,1979,West,DNP,N,NA
Dave Cowens,1978,East,Starter,N,BOS
Julius Erving,1978,East,Starter,N,PHI
George Gervin,1978,East,Starter,N,SAS
John Havlicek,1978,East,Starter,N,BOS
Larry Kenon,1978,East,Starter,N,SAS
Doug Collins,1978,East,Reserve,N,PHI
Elvin Hayes,1978,East,Reserve,N,WSB
Moses Malone,1978,East,Reserve,N,HOU
Bob McAdoo,1978,East,Reserve,N,NYK
Truck Robinson,1978,East,Reserve,N,NOJ
Randy Smith,1978,East,Reserve,Y,BUF
Rick Barry,1978,West,Starter,N,GSW
Maurice Lucas,1978,West,Starter,N,POR
David Thompson,1978,West,Starter,N,DEN
Bill Walton,1978,West,Starter,N,POR
Paul Westphal,1978,West,Starter,N,PHO
Walter Davis,1978,West,Reserve,N,PHO
Artis Gilmore,1978,West,Reserve,N,CHI
Lionel Hollins,1978,West,Reserve,N,POR
Bobby Jones,1978,West,Reserve,N,DEN
Bob Lanier,1978,West,Reserve,N,DET
Brian Winters,1978,West,Reserve,N,MIL
Pete Maravich,1978,West,DNP,N,NA
Doug Collins,1977,East,Starter,N,PHI
Julius Erving,1977,East,Starter,Y,PHI
Pete Maravich,1977,East,Starter,N,NOJ
Bob McAdoo,1977,East,Starter,N,NYK
George McGinnis,1977,East,Starter,N,PHI
Phil Chenier,1977,East,Reserve,N,WSB
George Gervin,1977,East,Reserve,N,SAS
John Havlicek,1977,East,Reserve,N,BOS
Elvin Hayes,1977,East,Reserve,N,WSB
Earl Monroe,1977,East,Reserve,N,NYK
Rudy Tomjanovich,1977,East,Reserve,N,HOU
Jo Jo White,1977,East,Reserve,N,BOS
Dan Issel,1977,West,Starter,N,DEN
Bobby Jones,1977,West,Starter,N,DEN
David Thompson,1977,West,Starter,N,DEN
Norm Van Lier,1977,West,Starter,N,CHI
Paul Westphal,1977,West,Starter,N,PHO
Kareem Abdul-Jabbar,1977,West,Reserve,N,LAL
Rick Barry,1977,West,Reserve,N,GSW
Don Buse,1977,West,Reserve,N,IND
Billy Knight,1977,West,Reserve,N,IND
Bob Lanier,1977,West,Reserve,N,DET
Maurice Lucas,1977,West,Reserve,N,POR
Phil Smith,1977,West,Reserve,N,GSW
Dave Cowens,1977,West,DNP,N,NA
Bill Walton,1977,West,DNP,N,NA
Dave Bing,1976,East,Starter,Y,WSB
Walt Frazier,1976,East,Starter,N,NYK
John Havlicek,1976,East,Starter,N,BOS
Elvin Hayes,1976,East,Starter,N,WSB
Bob McAdoo,1976,East,Starter,N,BUF
Doug Collins,1976,East,Reserve,N,PHI
Dave Cowens,1976,East,Reserve,N,BOS
John Drew,1976,East,Reserve,N,ATL
George McGinnis,1976,East,Reserve,N,PHI
Randy Smith,1976,East,Reserve,N,BUF
Rudy Tomjanovich,1976,East,Reserve,N,HOU
Jo Jo White,1976,East,Reserve,N,BOS
Kareem Abdul-Jabbar,1976,West,Starter,N,LAL
Tiny Archibald,1976,West,Starter,N,KCK
Rick Barry,1976,West,Starter,N,GSW
Bob Dandridge,1976,West,Starter,N,MIL
Brian Winters,1976,West,Starter,N,MIL
Alvan Adams,1976,West,Reserve,N,PHO
Fred Brown,1976,West,Reserve,N,SEA
Curtis Rowe,1976,West,Reserve,N,DET
Phil Smith,1976,West,Reserve,N,GSW
Norm Van Lier,1976,West,Reserve,N,CHI
Scott Wedman,1976,West,Reserve,N,KCK
Jamaal Wilkes,1976,West,Reserve,N,GSW
Walt Frazier,1975,East,Starter,Y,NYK
John Havlicek,1975,East,Starter,N,BOS
Elvin Hayes,1975,East,Starter,N,WSB
Bob McAdoo,1975,East,Starter,N,BUF
Earl Monroe,1975,East,Starter,N,NYK
Phil Chenier,1975,East,Reserve,N,WSB
