seas_id,player,tm,season,age,experience,g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs,w,l,forward,guard,center,All-NBA Probability
30693,Jakob Poeltl,TOR,2023,27,7,7,6,190,43,58,0,0,43,58,13,27,22,40,62,16,13,14,6,22,99,0,31,32,0,0,1,0.02
30546,Cody Zeller,MIA,2023,30,10,3,0,47,8,12,0,0,8,12,3,6,5,3,8,3,1,3,2,9,19,0,33,29,0,0,1,0.02
30795,Kelly Olynyk,UTA,2023,31,10,51,51,1439,201,410,73,182,128,228,136,164,64,216,280,164,49,29,114,189,611,0,31,32,0,0,1,0.02
30588,DeAndre Jordan,DEN,2023,34,15,34,5,498,74,96,1,1,73,95,18,41,41,126,167,31,8,22,42,65,167,0,44,19,0,0,1,0.02
30493,Blake Griffin,BOS,2023,33,13,27,12,380,47,94,19,49,28,45,15,24,24,66,90,34,8,5,14,52,128,0,44,18,0,0,1,0.02
30953,Precious Achiuwa,TOR,2023,23,3,39,11,896,150,313,20,78,130,235,73,106,80,173,253,39,24,25,46,82,393,0,31,32,0,0,1,0.01
30907,Moritz Wagner,ORL,2023,25,5,41,14,859,149,303,41,129,108,174,118,138,54,135,189,69,29,9,51,109,457,0,26,36,0,0,1,0.01
31077,Willy Hernangómez,NOP,2023,28,7,30,0,383,77,144,2,10,75,134,71,91,52,102,154,27,12,12,32,52,227,0,30,32,0,0,1,0.01
30656,Goga Bitadze,ORL,2023,23,4,1,0,9,2,3,1,1,1,2,1,1,1,5,6,1,0,0,0,1,6,0,26,36,0,0,1,0.01
30512,Bruno Fernando,ATL,2023,24,4,2,0,6,2,3,0,0,2,3,0,0,1,1,2,1,0,0,2,1,4,0,31,31,0,0,1,0.01
30916,Neemias Queta,SAC,2023,23,2,4,0,25,6,8,0,0,6,8,0,2,4,5,9,1,0,1,1,7,12,0,36,25,0,0,1,0.01
